,,Navn (Kilde til variasjon),Egnethet til ØG,Kartstatus,Kartformat,Kilder,Kort beskrivelse av produksjon,"Kommentarer (fremtidige muligheter, nye datasett, begrensninger etc.)"
LANDFORM,3FP,Landformer knyttet til frostprosesser,?,avhengig av kartlegging,,"UiO, UiB","Forvitringsblokkmark, kanskje ikke N-Norge, Pingoer kartlagt Liestøl 1969",
LANDFORM,3IK,Landformer knyttet til jordas indre krefter,X,kartlagt,,,Berentsberg,
LANDFORM,3KJ,Kjemiske oppløsningsformer,X,kartlagt,,Lauritzen,Grotter,
LANDFORM,3KP,Landformer knyttet til kystprosesser,X?,avhengig av kartlegging,,Klemsdal?,"Næringskyst, klippekyst",
LANDFORM,3ML,Landformer knyttet til massebevegelse på land,?,avhengig av kartlegging,,,,
LANDFORM,3MR,Landformer knyttet til marine strøm- og skredprosesser,?,avhengig av kartlegging,,MAREANO,Eksisterer oversikt over gjel og store ras på kontinentakskråning.,
LANDFORM,3TO,Torvmarksformer,x?,avhengig av kartlegging,,"Vegetasjonsatlas, Moen",høymyr? Pals.,
LANDFORM,3VI,Landformer knyttet til vindprosesser: flygesanddyne,?,avhengig av kartlegging,,jordartskart og DEM,Sjekk Klemsdal og flyvesand,
NATURGITTE OBJEKTER,4DG,Stående død ved (gadder),Uegnet,,,,,
NATURGITTE OBJEKTER,4DL,Liggende død ved (læger),Uegnet,,,,,
NATURGITTE OBJEKTER,4RV,Rotvelt,Uegnet,,,,,
NATURGITTE OBJEKTER,4TG,Gammelt tre,Uegnet,,,,,
NATURGITTE OBJEKTER,4TL,Tre med spesielt livsmedium,Uegnet,,,,,
NATURGITTE OBJEKTER,4TS,Trestørrelse,Uegnet,,,,,
MENNESKESKAPTE OBJEKTER,5KU,Kulturminner,X,,,Askeladden/GAB/N50,,
MENNESKESKAPTE OBJEKTER,5XG,Annen løs gjenstand,Uegnet,,,,,
REGIONAL NATURVARIASJON,6HF,Historisk ferskvannsforbindelse mot øst,x,Kartlagt,,,,Må tilrettelegges digitalt
REGIONAL NATURVARIASJON,6KS,Kystvannssoner,X,Delvis kartlagt,,HI,,"Tilsynelatende klar avgrensing mot fastlands-Norge, men hvordan avgrensingen fortstter i norsk økonomisk sone er uklart."
REGIONAL NATURVARIASJON,6SE,Bioklimatiske seksjoner,X,PCANorge,,NHM/NINA,,Klar for ØG
REGIONAL NATURVARIASJON,6SO,Bioklimatiske soner,X,PCANorge,,NHM/NINA,,Klar for ØG
REGIONAL NATURVARIASJON,6SX,Bioklimatiske soner i Arktis,X,Kartlagt,,UiT,Elvebakk,
